                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8734,                 2.8554,                   2.07,                 1.7916,                 3.4647,                 1.9813,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070062,              0.0033264,              0.0033264
                      2,                 1.8061,                 2.6849,                 2.0306,                  1.793,                 3.1371,                  1.985,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040019,              0.0066158,              0.0066158
                      3,                 1.7491,                 2.5381,                 1.9478,                 1.7831,                 2.9029,                 1.9136,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099306,              0.0098611,              0.0098611
                      4,                 1.7067,                  2.451,                 1.9213,                 1.7303,                 2.7842,                 1.8618,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      5,                 1.6404,                 2.3683,                 1.8606,                 1.6562,                 2.7055,                 1.8042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.6297,                  2.277,                 1.8234,                 1.6326,                 2.5958,                 1.7836,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009736,               0.009736,               0.009736
                      7,                  1.583,                 2.2488,                 1.8016,                 1.6076,                 2.5495,                 1.7656,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00967,                0.00967,                0.00967
                      8,                 1.5249,                 2.1721,                 1.7502,                 1.5711,                 2.4426,                 1.7264,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                      9,                 1.5052,                 2.1045,                 1.7172,                 1.5471,                 2.3401,                 1.6972,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009538,               0.009538,               0.009538
                     10,                 1.5287,                 2.0814,                 1.7313,                 1.5673,                 2.3236,                 1.7078,                0.39151,                0.37532,                0.33906,                0.20025,                 1.4557,                 1.9084,                 1.8764,                 1.4602,                 2.1128,                 1.8725,               0.009472,               0.009472,               0.009472
                     11,                 1.5071,                 2.0423,                 1.7273,                 1.5515,                 2.2484,                 1.7002,                0.39151,                0.37532,                0.33906,                0.20025,                 1.4557,                 1.9084,                 1.8764,                 1.4602,                 2.1128,                 1.8725,               0.009406,               0.009406,               0.009406
                     12,                 1.4992,                 2.0577,                 1.7078,                 1.5627,                 2.2677,                 1.6813,                0.39151,                0.37532,                0.33906,                0.20025,                 1.4557,                 1.9084,                 1.8764,                 1.4602,                 2.1128,                 1.8725,                0.00934,                0.00934,                0.00934
                     13,                 1.4694,                 1.9921,                 1.6696,                 1.5089,                  2.183,                 1.6461,                0.39151,                0.37532,                0.33906,                0.20025,                 1.4557,                 1.9084,                 1.8764,                 1.4602,                 2.1128,                 1.8725,               0.009274,               0.009274,               0.009274
                     14,                 1.4527,                 1.9665,                 1.6497,                 1.5106,                 2.1444,                 1.6337,                0.39151,                0.37532,                0.33906,                0.20025,                 1.4557,                 1.9084,                 1.8764,                 1.4602,                 2.1128,                 1.8725,               0.009208,               0.009208,               0.009208
                     15,                 1.4374,                 1.9364,                 1.6459,                 1.4912,                  2.117,                 1.6216,                0.39151,                0.37532,                0.33906,                0.20025,                 1.4557,                 1.9084,                 1.8764,                 1.4602,                 2.1128,                 1.8725,               0.009142,               0.009142,               0.009142
                     16,                 1.4396,                 1.9203,                 1.6464,                  1.487,                 2.1192,                 1.6232,                0.39151,                0.37532,                0.33906,                0.20025,                 1.4557,                 1.9084,                 1.8764,                 1.4602,                 2.1128,                 1.8725,               0.009076,               0.009076,               0.009076
                     17,                 1.4336,                 1.8919,                 1.6452,                  1.478,                 2.0799,                 1.6296,                0.39151,                0.37532,                0.33906,                0.20025,                 1.4557,                 1.9084,                 1.8764,                 1.4602,                 2.1128,                 1.8725,                0.00901,                0.00901,                0.00901
                     18,                 1.4196,                 1.8673,                 1.6411,                 1.4762,                 2.0398,                 1.6185,                0.39151,                0.37532,                0.33906,                0.20025,                 1.4557,                 1.9084,                 1.8764,                 1.4602,                 2.1128,                 1.8725,               0.008944,               0.008944,               0.008944
                     19,                 1.4096,                 1.8972,                  1.633,                 1.4731,                 2.0787,                 1.6145,                0.39151,                0.37532,                0.33906,                0.20025,                 1.4557,                 1.9084,                 1.8764,                 1.4602,                 2.1128,                 1.8725,               0.008878,               0.008878,               0.008878
                     20,                 1.4104,                  1.856,                 1.6306,                 1.4575,                 2.0321,                 1.6058,                0.41767,                0.48577,                0.44073,                0.25621,                 1.3716,                 1.7271,                 1.7817,                 1.4074,                 1.8057,                  1.799,               0.008812,               0.008812,               0.008812
                     21,                 1.3934,                  1.823,                 1.6143,                 1.4404,                 1.9987,                 1.5953,                0.41767,                0.48577,                0.44073,                0.25621,                 1.3716,                 1.7271,                 1.7817,                 1.4074,                 1.8057,                  1.799,               0.008746,               0.008746,               0.008746
                     22,                 1.3921,                 1.8429,                 1.6199,                 1.4394,                 1.9878,                 1.5964,                0.41767,                0.48577,                0.44073,                0.25621,                 1.3716,                 1.7271,                 1.7817,                 1.4074,                 1.8057,                  1.799,                0.00868,                0.00868,                0.00868
                     23,                 1.3852,                 1.8201,                 1.6071,                 1.4407,                 1.9861,                 1.5885,                0.41767,                0.48577,                0.44073,                0.25621,                 1.3716,                 1.7271,                 1.7817,                 1.4074,                 1.8057,                  1.799,               0.008614,               0.008614,               0.008614
